id;telefono;correo;direccion
1;Credit Amarillo;generate Clonado;Hormigon
2;haptic;Berkshire Verde Metal;Bedfordshire instrucciones PCI
3;Mercados;de Plástico;Account Composite Tala
4;Calidad Rojo;bifurcada Enfocado política;Rincón
5;port;killer;Serbia a
6;Operaciones invoice;bypassing;Violeta
7;Blanco;Eslovaquia Mascotas;extensible Aragón
8;Monte actitud;Decoración;Marketing Lado Rica
9;Inteligente override;Blanco recontextualize Raton;Verde
10;withdrawal Blanco Av;repurpose applications Sopa;parse
