id;id_cuenta;nombre_usuario;nombre_perfil;pais;fecha_nacimiento
1;51554;circuit SCSI;deposit;synthesize;2022-07-15
2;361;invoice Metal;connecting system transmitting;Somoni convergence;2022-07-14
3;57874;Acero;Bedfordshire SCSI;Total;2022-07-14
4;72690;state;deposit Mascotas;Facilitador Hecho morph;2022-07-14
5;65098;Guatemala Bicicleta;Bedfordshire Costa navigating;circuit Sabroso;2022-07-14
6;17816;virtual;virtual Sorprendente;array Bricolaje;2022-07-14
7;70274;Perú;bandwidth Grupo;demanda metodologías;2022-07-14
8;96520;CSS;Guapa Uganda;copy Comunidad;2022-07-14
9;25847;Decoración Algodón;Buckinghamshire;customized;2022-07-14
10;66497;online benchmark;infomediaries input;Plástico;2022-07-14
